"Ozone (O3), lat=23.0916, lon=113.3480 [CN_1348A]"
"Station: CN_1348A"
"Time Period (UTC+8): 20201219-20201225"
"Time","Height","ppb","Source","Status","Method ID"
2020/12/21 21:00:00,0.0000,26.530600,"AQ_CNEMC",-1,0
2020/12/21 22:00:00,0.0000,23.979600,"AQ_CNEMC",-1,0
2020/12/21 23:00:00,0.0000,22.449000,"AQ_CNEMC",-1,0
2020/12/22 00:00:00,0.0000,29.081600,"AQ_CNEMC",-1,0
2020/12/22 01:00:00,0.0000,31.122400,"AQ_CNEMC",-1,0
2020/12/22 02:00:00,0.0000,35.204100,"AQ_CNEMC",-1,0
2020/12/22 03:00:00,0.0000,36.734700,"AQ_CNEMC",-1,0
2020/12/22 04:00:00,0.0000,36.734700,"AQ_CNEMC",-1,0
2020/12/22 05:00:00,0.0000,36.224500,"AQ_CNEMC",-1,0
2020/12/22 06:00:00,0.0000,36.224500,"AQ_CNEMC",-1,0
2020/12/22 07:00:00,0.0000,31.632700,"AQ_CNEMC",-1,0
2020/12/22 08:00:00,0.0000,27.040800,"AQ_CNEMC",-1,0
2020/12/22 09:00:00,0.0000,25.510200,"AQ_CNEMC",-1,0
2020/12/22 10:00:00,0.0000,25.510200,"AQ_CNEMC",-1,0
2020/12/22 11:00:00,0.0000,19.387800,"AQ_CNEMC",-1,0
2020/12/22 12:00:00,0.0000,31.632700,"AQ_CNEMC",-1,0
2020/12/22 13:00:00,0.0000,34.693900,"AQ_CNEMC",-1,0
2020/12/22 14:00:00,0.0000,34.693900,"AQ_CNEMC",-1,0
2020/12/22 15:00:00,0.0000,36.224500,"AQ_CNEMC",-1,0
2020/12/22 16:00:00,0.0000,37.755100,"AQ_CNEMC",-1,0
2020/12/22 17:00:00,0.0000,35.204100,"AQ_CNEMC",-1,0
2020/12/22 18:00:00,0.0000,22.959200,"AQ_CNEMC",-1,0
2020/12/22 19:00:00,0.0000,19.898000,"AQ_CNEMC",-1,0
2020/12/22 20:00:00,0.0000,14.285700,"AQ_CNEMC",-1,0
2020/12/22 21:00:00,0.0000,7.653060,"AQ_CNEMC",-1,0
2020/12/22 22:00:00,0.0000,3.571430,"AQ_CNEMC",-1,0
2020/12/22 23:00:00,0.0000,2.551020,"AQ_CNEMC",-1,0
2020/12/23 00:00:00,0.0000,2.551020,"AQ_CNEMC",-1,0
2020/12/23 01:00:00,0.0000,2.551020,"AQ_CNEMC",-1,0
2020/12/23 02:00:00,0.0000,2.040820,"AQ_CNEMC",-1,0
2020/12/23 03:00:00,0.0000,2.551020,"AQ_CNEMC",-1,0
2020/12/23 04:00:00,0.0000,6.632650,"AQ_CNEMC",-1,0
2020/12/23 05:00:00,0.0000,2.551020,"AQ_CNEMC",-1,0
2020/12/23 06:00:00,0.0000,8.673470,"AQ_CNEMC",-1,0
2020/12/23 07:00:00,0.0000,8.163270,"AQ_CNEMC",-1,0
2020/12/23 08:00:00,0.0000,4.591840,"AQ_CNEMC",-1,0
2020/12/23 09:00:00,0.0000,9.183670,"AQ_CNEMC",-1,0
2020/12/23 10:00:00,0.0000,14.795900,"AQ_CNEMC",-1,0
2020/12/23 11:00:00,0.0000,19.387800,"AQ_CNEMC",-1,0
2020/12/23 12:00:00,0.0000,23.979600,"AQ_CNEMC",-1,0
2020/12/23 13:00:00,0.0000,27.551000,"AQ_CNEMC",-1,0
