"Respirable Suspended Particulates (RSPMC), lat=23.2783, lon=113.5680 [CN_1353A]"
"Station: CN_1353A"
"Time Period (UTC+8): 20201219-20201225"
"Time","Height","ug/m3","Source","Status","Method ID"
2020/12/20 11:00:00,0.0000,49.000000,"AQ_CNEMC",-1,0
2020/12/20 11:00:00,0.0000,47.648000,"AQ_WAQI",-1,0
2020/12/20 12:00:00,0.0000,50.000000,"AQ_CNEMC",-1,0
2020/12/20 12:00:00,0.0000,48.706800,"AQ_WAQI",-1,0
2020/12/20 13:00:00,0.0000,51.000000,"AQ_CNEMC",-1,0
2020/12/20 13:00:00,0.0000,49.765700,"AQ_WAQI",-1,0
2020/12/20 14:00:00,0.0000,51.000000,"AQ_CNEMC",-1,0
2020/12/20 14:00:00,0.0000,49.765700,"AQ_WAQI",-1,0
2020/12/20 15:00:00,0.0000,56.000000,"AQ_CNEMC",-1,0
2020/12/20 15:00:00,0.0000,55.000000,"AQ_WAQI",-1,0
2020/12/20 16:00:00,0.0000,60.000000,"AQ_CNEMC",-1,0
2020/12/20 16:00:00,0.0000,58.960100,"AQ_WAQI",-1,0
2020/12/20 17:00:00,0.0000,64.000000,"AQ_CNEMC",-1,0
2020/12/20 17:00:00,0.0000,62.920200,"AQ_WAQI",-1,0
2020/12/20 18:00:00,0.0000,69.000000,"AQ_CNEMC",-1,0
2020/12/20 18:00:00,0.0000,66.880200,"AQ_WAQI",-1,0
2020/12/20 19:00:00,0.0000,72.000000,"AQ_CNEMC",-1,0
2020/12/20 19:00:00,0.0000,70.840300,"AQ_WAQI",-1,0
2020/12/20 20:00:00,0.0000,75.000000,"AQ_CNEMC",-1,0
2020/12/20 20:00:00,0.0000,72.820400,"AQ_WAQI",-1,0
2020/12/20 21:00:00,0.0000,71.000000,"AQ_CNEMC",-1,0
2020/12/20 21:00:00,0.0000,68.860300,"AQ_WAQI",-1,0
2020/12/20 22:00:00,0.0000,70.000000,"AQ_CNEMC",-1,0
2020/12/20 22:00:00,0.0000,68.860300,"AQ_WAQI",-1,0
2020/12/20 23:00:00,0.0000,68.000000,"AQ_CNEMC",-1,0
2020/12/21 00:00:00,0.0000,66.000000,"AQ_CNEMC",-1,0
2020/12/21 00:00:00,0.0000,64.900200,"AQ_WAQI",-1,0
2020/12/21 01:00:00,0.0000,67.000000,"AQ_CNEMC",-1,0
2020/12/21 01:00:00,0.0000,64.900200,"AQ_WAQI",-1,0
2020/12/21 02:00:00,0.0000,68.000000,"AQ_CNEMC",-1,0
2020/12/21 02:00:00,0.0000,66.880200,"AQ_WAQI",-1,0
2020/12/21 03:00:00,0.0000,71.000000,"AQ_CNEMC",-1,0
2020/12/21 04:00:00,0.0000,75.000000,"AQ_CNEMC",-1,0
2020/12/21 04:00:00,0.0000,72.820400,"AQ_WAQI",-1,0
2020/12/21 05:00:00,0.0000,77.000000,"AQ_CNEMC",-1,0
2020/12/21 05:00:00,0.0000,74.800400,"AQ_WAQI",-1,0
2020/12/21 06:00:00,0.0000,75.000000,"AQ_CNEMC",-1,0
2020/12/21 06:00:00,0.0000,72.820400,"AQ_WAQI",-1,0
2020/12/21 07:00:00,0.0000,73.000000,"AQ_CNEMC",-1,0
2020/12/21 07:00:00,0.0000,70.840300,"AQ_WAQI",-1,0
2020/12/21 08:00:00,0.0000,71.000000,"AQ_CNEMC",-1,0
2020/12/21 08:00:00,0.0000,68.860300,"AQ_WAQI",-1,0
2020/12/21 09:00:00,0.0000,64.000000,"AQ_CNEMC",-1,0
2020/12/21 09:00:00,0.0000,62.920200,"AQ_WAQI",-1,0
2020/12/21 10:00:00,0.0000,57.000000,"AQ_CNEMC",-1,0
2020/12/21 10:00:00,0.0000,55.000000,"AQ_WAQI",-1,0
2020/12/21 11:00:00,0.0000,52.000000,"AQ_CNEMC",-1,0
2020/12/21 11:00:00,0.0000,50.824500,"AQ_WAQI",-1,0
2020/12/21 12:00:00,0.0000,49.000000,"AQ_CNEMC",-1,0
2020/12/21 12:00:00,0.0000,47.648000,"AQ_WAQI",-1,0
2020/12/21 13:00:00,0.0000,46.000000,"AQ_CNEMC",-1,0
2020/12/21 13:00:00,0.0000,44.471500,"AQ_WAQI",-1,0
2020/12/21 14:00:00,0.0000,47.000000,"AQ_CNEMC",-1,0
2020/12/21 14:00:00,0.0000,45.530300,"AQ_WAQI",-1,0
2020/12/21 15:00:00,0.0000,49.000000,"AQ_CNEMC",-1,0
2020/12/21 15:00:00,0.0000,47.648000,"AQ_WAQI",-1,0
2020/12/21 16:00:00,0.0000,46.000000,"AQ_CNEMC",-1,0
2020/12/21 16:00:00,0.0000,44.471500,"AQ_WAQI",-1,0
2020/12/21 17:00:00,0.0000,55.000000,"AQ_CNEMC",-1,0
2020/12/21 17:00:00,0.0000,52.942200,"AQ_WAQI",-1,0
2020/12/21 18:00:00,0.0000,65.000000,"AQ_CNEMC",-1,0
2020/12/21 18:00:00,0.0000,62.920200,"AQ_WAQI",-1,0
2020/12/21 19:00:00,0.0000,79.000000,"AQ_CNEMC",-1,0
2020/12/21 19:00:00,0.0000,76.780400,"AQ_WAQI",-1,0
2020/12/21 20:00:00,0.0000,89.000000,"AQ_CNEMC",-1,0
2020/12/21 20:00:00,0.0000,86.680600,"AQ_WAQI",-1,0
2020/12/21 21:00:00,0.0000,94.000000,"AQ_CNEMC",-1,0
